,year,Godawari,Budhinanda,Naumule
30,1980,1930.364447242,1692.3045048576,1752.4371186931137
31,1981,2306.529528780057,1615.3959077450568,1919.577373132057
32,1982,1612.245898117,1588.634128262,1790.839229785
33,1983,1883.345683945,1639.1869211690569,1757.1257089380567
34,1984,2366.962480996,1414.981151667,2089.770975941
35,1985,2220.057764751,1645.940566457,1814.33186151
36,1986,1905.651533855,1721.596401496,1752.824174911
37,1987,2253.778907448,1342.0011279640569,1569.0083704160568
38,1988,2262.004679542,1811.138593794,1817.373566994
39,1989,1942.202425943,1484.480712877,1691.072948085
40,1990,2397.002928985,1704.795096197,1991.164737494
41,1991,2049.671359133,1457.811836285,1645.390763362
42,1992,1670.610775863,1594.39423079,1813.584455528
43,1993,2387.764554751,1704.405715732,1839.395436693
44,1994,1970.6705942660567,1698.442615154,1768.5367635270568
45,1995,2444.834036387,1731.856646119,1992.929081564
46,1996,2352.82676266,1887.3610069771137,2093.3999049511135
47,1997,2303.738343665,1761.3025021261,1986.099611217
48,1998,2541.415191155,1617.324946524,1924.454501388
49,1999,2366.712983166057,1532.091363182,1862.2308966010569
50,2000,2459.166955724,1916.789374632,2098.693121354
51,2001,2004.012026171,1418.1483575380569,1620.618634191
52,2002,2624.407419338,1629.793004731,1978.038258851
53,2003,2500.132847001,1714.787729356,1968.1035261499999
54,2004,2115.908230212,1312.3599858990242,1544.785194622
55,2005,1968.148078602,1745.471348287,1690.362385358
56,2006,1790.424732317,1351.625154115,1543.442694127
57,2007,2928.9479824200002,1799.921267047,2324.420587089
58,2008,2522.2249537860002,1706.349820992,1884.615906126
59,2009,2039.9646215750001,1423.493984155,1782.2626973010567
60,2010,2530.779773409,1639.514780598,1845.478729861
61,2011,2454.799881048,1813.130813931,2019.288127335
62,2012,2125.400853021,1618.880046124,1747.5464228030569
63,2013,2317.654891058,2014.4752570991136,2237.633579030057
64,2014,2025.393333304,1464.477418166,1715.999413102
65,2015,1752.2282480869999,1552.472415337,1644.881123277
66,2016,2257.139069763,1443.318452229,1760.62851714
67,2017,2106.188210487057,1739.736293658,1789.189365247
68,2018,2072.289960515,1831.370035752,2021.994692056
69,2019,2189.9005403,1942.1325705411136,1978.3863891111137
70,2020,2546.00221396,1653.942479257,2033.574229245
71,2021,2844.973774338,2049.301573631,2449.881533842
72,2022,2114.137607927,1730.775891719,2105.51217712
