,year,Godawari,Budhinanda,Naumule
30,1980,23.967013936702184,11.092672112251366,14.618511968538252
31,1981,23.00820519383041,10.516229495876987,13.985316310023837
32,1982,23.407692899280274,10.36924602414822,13.958056404238357
33,1983,23.440817118663013,10.274723981326026,14.015390310419177
34,1984,23.927996717439893,11.528984126524591,14.893028566978144
35,1985,24.151913009863286,11.192350544990138,15.039581486869315
36,1986,23.663275578636163,10.386794686692328,14.333819554872054
37,1987,24.63141589582192,11.771373295816439,15.455566241024657
38,1988,24.44026752371858,12.028121861144808,15.157561303122952
39,1989,23.762479205223286,10.849277432195342,14.337219481576163
40,1990,23.480019714509588,11.313058199353424,14.620606768994522
41,1991,23.811301787926027,10.851980134736985,14.481069765717807
42,1992,23.681181874362025,10.637950124740438,14.332206149872404
43,1993,23.334320939934248,11.220700006287672,14.417655791463014
44,1994,23.968133514079454,10.927729153131507,14.505153680838356
45,1995,23.73509217045479,10.760738383813699,14.34270532449041
46,1996,23.623591367800547,11.0822174255194,14.593307958018306
47,1997,22.627270180304112,9.590465620463013,13.256015207276711
48,1998,23.536995458504112,11.612444510432878,14.984129099578084
49,1999,24.181272955416436,12.310248611317808,15.494870786452054
50,2000,23.00911466046885,11.03759146749071,14.194152804296994
51,2001,23.446511698608216,11.879884906616438,14.651754436271235
52,2002,23.262295377387122,11.28168890426192,14.313482049887671
53,2003,23.29324261821918,11.601668992323287,14.714797320805479
54,2004,23.451669056704915,11.911500566691258,14.855530785292348
55,2005,23.949257783958902,10.93174162478904,14.474429930671235
56,2006,24.145397444373426,12.318283423079452,15.335185082647397
57,2007,23.47215536227671,11.953715577786301,14.88780764430411
58,2008,23.671689265140987,11.656233632837706,14.800757894040984
59,2009,24.62714872938082,12.646315748750684,15.70002757051781
60,2010,24.586790838627397,12.927118526753425,15.80653063821096
61,2011,23.45813911681644,11.496150684575342,14.72737469179178
62,2012,23.91767061990246,10.902330892239345,14.428741425827049
63,2013,23.41153638320548,11.475631170915069,14.600378035816439
64,2014,23.641320169900823,11.36625440567863,14.710784346710412
65,2015,23.453052574783563,11.463307588336987,14.521286076175343
66,2016,24.124447402215846,13.040665508497268,15.497804030297814
67,2017,23.964492027906573,11.986951961696986,15.143042250931506
68,2018,23.675676728583564,12.132562580227397,14.954504361830136
69,2019,23.615903288851236,10.845962762224659,14.427588883525205
70,2020,23.099860740067488,10.75988097880847,14.488656732513661
71,2021,23.58099265059123,11.563115989581094,15.02214843948959
72,2022,23.6387437496926,11.63313205376274,15.039309559956985
